"","GPA_year1","GPA_year2","age","chooseUTM","compsurv","control","credits_earned1","credits_earned2","dad1","dad2","dad_edn","english","female","finish4","goodstanding_year1","goodstanding_year2","gpa0","graddeg","grade_20059_fall","hcom","hsgroup","lastmin","lm_never","lm_rarely","mathsci","mom1","mom2","mom_edn","mtongue","noshow","numcourses_nov1","prob_year1","prob_year2","sex","sfp","sfp_p","sfpany","sfpany_p","sfsp","sfsp_p","signup","ssp","ssp_p","totcredits_year1","used_adv","used_fsg","used_ssp","work1"
"90",1.95000004768372,2.34999990463257,18,1,1,1,3,3.5,1,1,8,1,1,1,1,1,75.3000030517578,1,73,1,1,4,0,1,1,1,1,6,"English",0,5,0,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"91",2.85999989509583,2.83999991416931,18,0,1,1,3,4.5,1,1,7,1,1,1,1,1,82.3000030517578,1,77.5,1,3,5,1,0,0,1,1,6,"English",0,6,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"92",2.08999991416931,2.29999995231628,19,1,1,1,3,4,1,0,2,1,1,0,1,1,86.3000030517578,0,57,1,3,2,0,0,3,1,1,8,"English",0,5,0,0,"F",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
"93",3.27999997138977,2.61999988555908,19,1,1,1,4.5,4.5,1,1,6,1,0,1,1,1,84.3000030517578,1,78.8000030517578,1,3,4,0,1,0,1,0,4,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
"94",3.25,2.60999989509583,19,0,1,1,3,2.5,1,1,6,1,0,0,1,1,80.8000030517578,1,71.5,0,3,1,0,0,1.5,1,0,5,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"95",0.990000009536743,1.30999994277954,18,0,1,0,2.5,3,1,1,8,1,0,0,0,0,72.8000030517578,1,55,0,1,1,0,0,0,1,1,8,"English",0,5,1,0,"M",0,0,1,0,1,0,0,0,0,4,0,0,0,0
"96",1.1599999666214,1.5,20,0,1,1,1.5,3,1,1,7,0,1,1,0,1,82.3000030517578,0,63,1,3,2,0,0,1.5,1,0,2,"Other",0,4,0,0,"F",0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
"97",0.800000011920929,1.20000004768372,19,0,1,1,2,2.5,1,0,4,0,1,1,0,0,76.5,1,60,1,2,3,0,0,3,1,0,4,"Other",0,5,1,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"98",2.50999999046326,2.54999995231628,18,0,1,1,2.5,4.5,1,1,6,0,1,1,1,1,83.1999969482422,1,80,1,3,3,0,0,0,1,0,2,"Other",0,6,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"99",0.850000023841858,2,18,0,1,1,1.5,2,1,0,4,1,1,0,0,0,74,1,51,0,1,3,0,0,1,1,0,5,"English",0,4,0,1,"F",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"100",2.4300000667572,1.75,18,0,1,0,3,4.5,1,1,7,1,0,1,1,1,85.8000030517578,1,80.5,0,3,4,0,1,0,1,1,6,"English",0,5,0,0,"M",1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
"101",1.8400000333786,0.349999994039536,18,0,1,1,1,2,1,0,5,0,1,1,0,0,81.5,1,42,1,3,2,0,0,2.5,1,0,5,"Other",0,6,0,1,"F",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"102",1.04999995231628,1.01999998092651,19,0,1,0,2,2,1,1,7,1,0,1,0,0,75,1,66,1,1,3,0,0,0,0,0,9,"English",0,4,0,1,"M",1,1,1,1,0,0,1,0,0,4,0,0,0,0
"103",1.67999994754791,2.10999989509583,18,0,1,1,3.5,4,1,1,6,0,1,1,1,1,80.3000030517578,1,59.3333320617676,1,2,4,0,1,1,0,0,9,"Other",0,6,0,0,"F",0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
"104",2.45000004768372,3.22000002861023,18,1,1,0,2.5,5.5,1,0,3,1,0,0,0,1,75,0,63,0,1,2,0,0,3,0,0,1,"English",0,6,0,0,"M",1,1,1,1,0,0,1,0,0,3,0,0,0,0
"105",0.639999985694885,2.40000009536743,19,0,1,1,2,2.25,1,0,2,1,0,1,0,0,72,0,50,1,1,2,0,0,0,1,0,2,"English",0,6,1,1,"M",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
"106",2.96000003814697,2.6800000667572,19,1,1,0,3,3.5,1,0,2,1,1,0,0,1,78.6999969482422,1,72.5,1,2,3,0,0,1,1,0,2,"English",0,4,0,0,"F",1,0,1,0,0,0,0,0,0,3.5,0,0,0,0
