"","sfp","ssp","GPA_year1","GPA_year2","grade_20059_fall","gpa0","sex","goodstanding_year1","goodstanding_year2"
"1192","0","1",0.540000021457672,0.300000011920929,50,71.6999969482422,"M",0,0
"1200","1","0",0.800000011920929,1.54999995231628,55.5,72,"M",0,0
"1203","0","0",2.01999998092651,2.33999991416931,70.5,75,"M",1,1
"1209","0","0",0.810000002384186,0.939999997615814,58.5,74.1999969482422,"M",0,0
"1224","0","0",1.42999994754791,1.52999997138977,60.3333320617676,74.5,"M",0,1
"1233","0","0",1.87999999523163,0,65,73.6999969482422,"F",1,0
"1243","0","0",0.899999976158142,1.74000000953674,66,71.8000030517578,"M",0,0
"1257","0","0",2.25,2.32999992370605,68,71.8000030517578,"M",1,1
"1259","0","0",0.810000002384186,1.25999999046326,61,71.3000030517578,"F",0,0
"1260","0","0",1.10000002384186,2.52999997138977,60,75,"F",0,0
"1268","0","0",0.46000000834465,2.09999990463257,60,71.8000030517578,"F",0,0
"1281","0","0",1.05999994277954,0.28999999165535,44,73.5,"F",0,0
"1288","0","0",0.939999997615814,0.730000019073486,60,72.5,"F",0,0
"1301","0","0",1.54999995231628,1.25,67.5,74.6999969482422,"M",0,0
"1302","0","0",1.61000001430511,2.51999998092651,61.3333320617676,75,"F",0,1
"1310","0","1",1.92999994754791,1.97000002861023,58.5,73.6999969482422,"F",1,1
"1319","0","0",2.26999998092651,2.54999995231628,69.5,73.5,"F",1,1
"1322","1","1",0.910000026226044,0.400000005960464,57.5,72.1999969482422,"M",0,0
"1324","0","0",1.26999998092651,1.6599999666214,55,74.5,"F",0,0
"1325","1","0",2.91000008583069,3.67000007629395,73.75,73.1999969482422,"M",1,1
"1331","1","0",1.23000001907349,1.73000001907349,62,74.1999969482422,"M",0,1
"1335","0","1",0.100000001490116,0,50,72.8000030517578,"M",0,0
"1342","0","0",2.74000000953674,3.23000001907349,77,75,"M",1,1
"1344","0","1",1.5900000333786,2.1800000667572,66,74.5,"F",1,1
"1347","1","1",0.850000023841858,1.91999995708466,61,69.8000030517578,"F",0,1
"1349","0","0",2.30999994277954,2.61999988555908,69.3333358764648,74,"F",0,1
"1351","0","1",1.88999998569489,1.77999997138977,74,71.6999969482422,"F",1,1
"1352","0","0",0.600000023841858,1.33000004291534,54,73.5,"F",0,0
"1356","0","0",0.75,1.28999996185303,64,73,"F",0,0
"1380","1","1",1.70000004768372,0.430000007152557,66,74.5,"F",0,0
"1387","0","0",1.20000004768372,0.200000002980232,52.5,74.8000030517578,"F",0,0
"1393","1","0",1.77999997138977,0.620000004768372,62.5,74.1999969482422,"M",0,0
"1394","1","1",1.12000000476837,1.48000001907349,62.5,73.3000030517578,"F",0,0
"1399","1","1",0.660000026226044,2.59999990463257,57,72.6999969482422,"F",0,0
"1401","0","0",1.03999996185303,1.17999994754791,56,74.6999969482422,"F",0,0
"1402","0","0",1.21000003814697,2.5699999332428,63,73.1999969482422,"F",0,1
"1419","0","0",0.790000021457672,1.26999998092651,61.5,72.1999969482422,"M",0,0
"1425","0","0",1.13999998569489,2.51999998092651,68,72.8000030517578,"M",0,1
"1427","0","0",1.02999997138977,1.95000004768372,59,73,"M",0,0
"1436","0","0",0.600000023841858,0.340000003576279,53,75.1999969482422,"F",0,0
"1439","0","0",0,0,30.6666660308838,71.5,"F",0,0
"1442","0","0",2.05999994277954,0.72000002861023,61,73.6999969482422,"F",1,1
"1447","1","1",1.72000002861023,2.38000011444092,77,74.1999969482422,"F",0,1
"1449","0","0",2.14000010490417,2.70000004768372,72,74.5,"M",0,1
"1459","0","0",1.07000005245209,2.33999991416931,68,73.8000030517578,"M",0,1
"1467","1","1",1.57000005245209,1.29999995231628,73,74.8000030517578,"M",1,1
"1470","0","0",1.38999998569489,1.75,74,74.6999969482422,"F",0,1
"1471","0","0",2.46000003814697,2.53999996185303,71,74.8000030517578,"M",1,1
