"","sfp","ssp","GPA_year1","GPA_year2","gpa0","sex"
"623","0","0",1.9099999666214,2.14000010490417,71.6999969482422,"F"
"629","0","0",1.94000005722046,2.04999995231628,71.5,"M"
"634","0","0",1.5,1.61000001430511,73.3000030517578,"M"
"638","0","0",1.75999999046326,0.870000004768372,73.5,"F"
"644","0","0",1.82000005245209,2.88000011444092,74.8000030517578,"M"
"649","0","0",1.00999999046326,2.49000000953674,72.1999969482422,"M"
"656","0","0",3,1.85000002384186,73.3000030517578,"F"
"660","0","0",2.27999997138977,2.61999988555908,74.8000030517578,"M"
"668","0","0",2.23000001907349,2.27999997138977,74.6999969482422,"F"
"672","0","0",1.45000004768372,1.53999996185303,71.8000030517578,"F"
"684","1","1",1.17999994754791,1.25999999046326,74.5,"F"
"687","0","0",0.839999973773956,0,71,"F"
"689","0","0",1.23000001907349,1.80999994277954,73.5,"F"
"692","0","0",2.02999997138977,2.5699999332428,73.5,"F"
"693","0","0",2.14000010490417,2.46000003814697,72.8000030517578,"M"
"699","1","1",0.680000007152557,1,72.1999969482422,"M"
"704","0","1",1.57000005245209,0.620000004768372,71.8000030517578,"F"
"708","1","0",2.23000001907349,3.38000011444092,75.1999969482422,"M"
"709","0","0",0.409999996423721,1.66999995708466,74.5,"M"
"712","0","0",2.5,2.75,73.6999969482422,"M"
"718","1","0",0.77999997138977,0,72.5,"F"
"719","1","0",1.69000005722046,1.12000000476837,74,"F"
"727","1","0",1.05999994277954,0.959999978542328,71.8000030517578,"M"
"737","0","0",0.810000002384186,2.23000001907349,72.3000030517578,"F"
"757","1","0",2.19000005722046,1.9099999666214,75,"F"
"760","1","0",1.39999997615814,1.54999995231628,73.3000030517578,"M"
"768","0","0",1.01999998092651,1.95000004768372,75.1999969482422,"M"
"773","1","0",0.389999985694885,0.6700000166893,72.1999969482422,"M"
"784","0","0",1.6599999666214,1.86000001430511,72,"F"
"794","0","1",2.34999990463257,2,74.3000030517578,"M"
"809","0","1",0.189999997615814,1,72.5,"M"
"826","0","0",1.13999998569489,0,72.8000030517578,"M"
"827","0","0",1.46000003814697,2.23000001907349,72.5,"F"
"839","0","0",1.45000004768372,0.949999988079071,73,"F"
